Date/tenure,19s,20s,21s,22s,23s,24s,ESLA 24,25s,26s,27s,ESLA 27,28s,29s,ESLA 29,ESLA 31,31s,32s,33s,34s,39s,Total volumes traded,,,,,,,,,,,,,,,,,,,,,,
10/09/2019,21785,20214089,20029097,32000000,1000000,50000,0,0,0,,0,0,53000000,0,0,,139838,,9028375,,232669012,,,,,,,,,,,,,,,,,,,,,,
11/09/2019,35719895,26151861,15207541,33000000,333535,20904080,112972,10051357,0,,4000000,0,12000000,0,0,,0,,5894429,,143527706,,,,,,,,,,,,,,,,,,,,,,
12/09/2019,15512607,93130000,74653658,22050000,11000000,2519463,2000000,189139,0,,9630,0,12000000,0,0,,0,,0,,0,,,,,,,,,,,,,,,20.00%,20.19%,,,,,,
13/09/2019,9405017,37450697,64208581,11586832,4000000,2436829,4000000,0,2000000,,5000000,5185,4000000,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
16/09/2019,19103165,23247000,51409667,4803862,3000000,4000000,3000000,122251,2000000,,1000000,200000,24000000,1000000,0,,0,,0,,199799201,,,,,,,,,,,,,,,,,,,,,,
17/09/2019,17005201,80015559,17577371,5600000,10000000,2070000,0,1000000,0,,1000000,0,22000000,145793,0,,270647,,117519,0,155349639,,,,,,,,,,,,,,,,,,,,,,
18/09/2019,664992,53485000,24311546,20242912,15000000,0,0,31652,0,,794052,42742,11000000,0,0,,0,,6894137,0,191369110,,,,,,,,,,,,,,,,,,,,,,
19/09/2019,10000000,18133000,16085286,2493984,7000000,3000000,0,2000000,0,,0,0,31000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
20/09/2019,23000000,26158756,31706881,107420753,18000000,797350,8000000,0,0,,0,0,13000000,31000000,0,,185458,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
24/09/2019,4734026,27236386,26030000,3200,8000000,8123011,3000000,7000000,1000000,,994612,0,42000000,1000000,0,,185225,,0,2000000,71698989,,,,,,,,,,,,,,,,,,,,,,
25/09/2019,7000000,39662393,6890058,22401626,11000000,5111975,7000000,11000000,0,,0,0,17000000,0,0,,0,,489891,0,365290867,,,,,,,,,,,,,,,,,,,,,,
26/09/2019,3954,33275642,18254760,8090076,492268,5000000,0,2077130,10000000,,1000000,0,95000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
27/09/2019,5360713,26103087,41508913,6135904,889037,4096680,4000000,28886,0,,2000000,0,8000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
30/09/2019,5001943,28061173,37448561,6081745,383000,4000000,111229,8000000,31000000,,1000000,0,80000000,3000000,0,,544662,,0,400000,163281042,,,,,,,,,,,,,,,,,,,,,,
01/10/2019,14000000,28339368,64466898,25258517,2000000,2000000,4000000,27000000,25000000,,0,0,5000000,14000000,0,,0,,0,0,234064497,,,,,,,,,,,,,,,,,,,,,,
02/10/2019,22000000,24116447,51525084,1725467,3000000,6124862,3000000,11000000,0,,800000,0,0,0,0,,0,,102498,1000000,145612079,,,,,,,,,,,,,,,,,,,,,,
03/10/2019,959865,27473976,16830129,5481620,6000000,14977025,5000000,5441000,97900,,2000000,3700,5000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
04/10/2019,713704,71243721,13223140,6565000,9475091,1181000,1478085,28136169,20000000,,0,0,11162315,5000000,0,,3000000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
07/10/2019,8033986,76305400,53053835,3639532,3000000,0,2000000,17000000,15000000,,0,0,500000,12000000,0,,113769,,0,0,145572896,,,,,,,,,,,,,,,,,,,,,,
08/10/2019,17155692,44749047,72852758,18170281,8341646,3309088,637164,7000000,12092000,,0,0,450744,13037345,0,,15974,,8009731,3000000,100722001,,,,,,,,,,,,,,,,,,,,,,
09/10/2019,24000000,99565338,77775928,35650816,2000000,500000,0,20000000,0,,0,0,950744,0,0,,0,,0,0,229268965,,,,,,,,,,,,,,,,,,,,,,
10/10/2019,151361,29168280,156961691,19007000,7000000,622420,908458,11008971,11000,,8000000,8387,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11/10/2019,846,79191693,44743822,1883095,6000000,10478785,4000000,8000000,0,,300000,0,0,13000000,0,,210277,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
